fth      throughput_hopCount      avgFidelity_hopCount      avepurround_hopCount      consumption_hopcount      time_hopCount      throughput_alg1      avgFidelity_alg1      avepurround_alg1      consumption_alg1      time_alg1      throughput_alg2      avgFidelity_alg2      avepurround_alg2      consumption_alg2      time_alg2
0.55    15.87419541737707    0.7236458823718885    14.8    152.1    0.0066016197204589845        18.161434954898617    0.6182027938356788    4.1    151.2    1.350967812538147        17.093117759894866    0.7294730436100909    9.5    158.4    0.0012244939804077148    
0.6    13.357502784695006    0.7877753930966612    18.4    152.2    0.006165456771850586        16.241855779088784    0.6538848468877768    8.2    151.9    2.5935503244400024        15.606585141642928    0.769798563630572    11.8    154.6    0.0014006853103637694    
0.65    11.774329006654096    0.8221117754772649    20.8    146.5    0.0058012247085571286        14.777726722167724    0.6957156449941908    14.1    160.9    6.978114056587219        13.17707842232482    0.8231159612508481    19.0    159.7    0.0017002582550048827    
0.7    10.782390401974542    0.853751798922058    18.1    144.2    0.0055018186569213865        13.667321496321199    0.733531208168851    13.0    149.2    4.195102429389953        11.921339287032515    0.8474589899766555    20.6    148.1    0.0016625165939331056    
0.75    9.11760083348241    0.8946217426330716    28.5    141.6    0.007758736610412598        11.980961489567267    0.7805312228457069    15.8    154.0    6.548325753211975        9.473252123018877    0.8941790761764838    23.6    140.9    0.0041008472442626955    
0.8    8.159795295279686    0.9178759640756633    34.0    143.3    0.010320472717285156        10.358632600773701    0.8256292893938587    16.3    142.2    6.320982837677002        8.055575456012853    0.9148698510824816    27.3    134.1    0.0019998788833618165    
0.85    6.848666613042551    0.941478772375708    34.3    140.7    0.006393241882324219        9.124660650698962    0.8696277219797885    21.1    147.8    5.808217573165893        7.095662559569251    0.9396043814044631    31.8    139.1    0.0016512632369995116    
0.9    5.889901230555582    0.956716651772269    41.9    140.9    0.007278871536254883        7.521504213019831    0.9155143663592107    24.0    135.9    6.995062232017517        6.139397149228697    0.9586528865712929    33.0    145.1    0.0014003992080688476    
