fth      throughput_hopCount      avgFidelity_hopCount      avepurround_hopCount      consumption_hopcount      time_hopCount      throughput_alg1      avgFidelity_alg1      avepurround_alg1      consumption_alg1      time_alg1      throughput_alg2      avgFidelity_alg2      avepurround_alg2      consumption_alg2      time_alg2
100    102.92425076776802    0.8490373903079629    15.5    1162.3    0.0057015657424926754        123.1927500938638    0.7413729639712632    8.8    1240.0    0.7475090980529785        103.00148679277572    0.8540452012553921    12.8    1204.1    0.0010002851486206055    
200    205.84850153553603    0.8490373903079629    15.5    2324.6    0.005301427841186523        246.3855001877276    0.7413729639712632    8.8    2480.0    0.7465888261795044        206.00297358555144    0.8540452012553921    12.8    2408.2    0.0010861635208129882    
300    308.9743239207734    0.8490373903079629    15.5    3493.6    0.0048007965087890625        369.57825028159147    0.7413729639712632    8.8    3720.0    0.7542215824127197        309.23013229048854    0.8540452012553921    12.8    3619.1    0.0007003545761108398    
400    411.89857468854143    0.8490373903079629    15.5    4655.9    0.006302237510681152        492.7710003754552    0.7413729639712632    8.8    4960.0    0.7600059509277344        412.23161908326426    0.8540452012553921    12.8    4823.2    0.0013003349304199219    
500    514.880154341037    0.8490373903079629    15.5    5819.9    0.005501580238342285        615.9637504693189    0.7413729639712632    8.8    6200.0    0.7565163373947144        515.297044460988    0.8540452012553921    12.8    6030.0    0.0013002395629882813    
600    617.9486478415467    0.8490373903079629    15.5    6987.2    0.005026602745056152        739.1565005631829    0.7413729639712632    8.8    7440.0    0.7540173053741455        618.4602645809771    0.8540452012553921    12.8    7238.2    0.0005506038665771485    
700    720.9302274940424    0.8490373903079629    15.5    8151.2    0.005109167098999024        862.3492506570465    0.7413729639712632    8.8    8680.0    0.75750253200531        721.5256899587007    0.8540452012553921    12.8    8445.0    0.0008507490158081055    
800    823.8544782618104    0.8490373903079629    15.5    9313.5    0.005600857734680176        985.5420007509103    0.7413729639712632    8.8    9920.0    0.7412104606628418        824.5271767514765    0.8540452012553921    12.8    9649.1    0.0011516809463500977    
900    926.9803006470478    0.8490373903079629    15.5    10482.5    0.004391980171203613        1108.7347508447742    0.7413729639712632    8.8    11160.0    0.7610209703445434        927.7543354564135    0.8540452012553921    12.8    10860.0    0.0010003328323364257    
