fth    tphopcount    tpalg1    tpalg2    avefhopcount    avefalg1    avefalg2    consuhopcount    consualg1    consualg2    avepathlengthhopcount    avepathlengthalg1    avepathlengthalg2    aveperconhopcount    aveperconalg1    aveperconalg2    timehop    timealg1    timealg2
10    0.0    27.41488061456267    22.52253961125549    0.0    0.7300325167360083    0.8422667883661176    0.0    285.0    255.0    0.0    6.5    7.571428571428571    0.0    8.833333333333334    13.428571428571429    0    5.022587060928345    1.0607833862304688
20    0.0    54.82976122912534    45.04507922251098    0.0    0.7300325167360083    0.8452495499256069    0.0    570.0    513.0    0.0    6.5    8.0    0.0    8.833333333333334    14.375    0    5.026984214782715    1.126145362854004
30    0.0    82.244641843688    68.09258574243171    0.0    0.7300325167360083    0.8452495499256069    0.0    855.0    786.0    0.0    6.5    8.0    0.0    8.833333333333334    14.375    0    5.244980812072754    1.3178088665008545
40    0.0    109.65952245825068    90.61512535368718    0.0    0.7300325167360083    0.8452495499256069    0.0    1140.0    1044.0    0.0    6.5    8.0    0.0    8.833333333333334    14.375    0    4.977096319198608    1.383124589920044
50    0.0    137.07440307281334    113.13766496494269    0.0    0.7300325167360083    0.8452495499256069    0.0    1425.0    1299.0    0.0    6.5    8.0    0.0    8.833333333333334    14.375    0    5.201476335525513    1.4566311836242676
60    0.0    164.489283687376    136.1851714848634    0.0    0.7300325167360083    0.8452495499256069    0.0    1710.0    1575.0    0.0    6.5    8.0    0.0    8.833333333333334    14.375    0    5.107939958572388    1.5955510139465332
70    0.0    191.90416430193866    158.70771109611889    0.0    0.7300325167360083    0.8452495499256069    0.0    1995.0    1830.0    0.0    6.5    8.0    0.0    8.833333333333334    14.375    0    5.119811296463013    1.6467022895812988
80    0.0    219.31904491650135    181.23025070737435    0.0    0.7300325167360083    0.8452495499256069    0.0    2280.0    2088.0    0.0    6.5    8.0    0.0    8.833333333333334    14.375    0    5.054585218429565    1.72877836227417
90    0.0    246.73392553106396    204.2777572272951    0.0    0.7300325167360083    0.8452495499256069    0.0    2565.0    2361.0    0.0    6.5    8.0    0.0    8.833333333333334    14.375    0    5.0506346225738525    1.8162634372711182
